Round,Result,Bet Amount,New Coin Amount,Reward,,,Initial 30000
1,Win,1000,36000,Tripple Bar,,,
2,Lose,2500,33500,Lose Bet,,,
3,Win,2500,38500,Single Bar,,,
4,Lose,5000,33500,Lose Bet,,,
5,Lose,5000,28500,Lose Bet,,,
6,Lose,5000,23500,Lose Bet,,,
7,Lose,5000,18500,Lose Bet,,,
8,Lose,1000,17500,Lose Bet,,,
9,Lose,1000,16500,Lose Bet,,,
10,Lose,1000,15500,Lose Bet,,,
11,Lose,1000,14500,Lose Bet,,,
12,Lose,2500,12000,Lose Bet,,,
13,Lose,2500,9500,Lose Bet,,,
14,Lose,2500,7000,Lose Bet,,,
15,Lose,1000,6000,Lose Bet,,,
16,Lose,1000,5000,Lose Bet,,,
17,Lose,2500,2500,Lose Bet,,,
18,Lose,2500,0,Lose Bet,,,